entry_dt,entry_px,sl,tp1,kind,exit_dt,exit_px,reason,pnl_pct,tp1_hit,tp1_dt,tp1_px
2024-02-24 20:00,51557.08,50198.4079648368,52915.752035163205,pullback resume,2024-03-05 16:00,63939.81471096721,breakeven/trail stop,13.235758298980649,True,2024-02-26 16:00:00+00:00,52915.752035163205
2024-03-06 08:00,66676.46,61495.92695000421,71856.99304999581,pullback resume,2024-03-14 16:00,69032.4492080975,breakeven/trail stop,5.567057134255182,True,2024-03-11 08:00:00+00:00,71856.99304999581
2024-03-17 20:00,68536.72,64121.00756533546,72952.43243466454,pullback resume,2024-03-19 04:00,64121.00756533546,initial stop,-6.517672543062469,False,,
2024-03-20 20:00,65784.47,60817.585846379014,70751.354153621,pullback resume,2024-04-01 12:00,68750.31449223084,breakeven/trail stop,5.944525836570658,True,2024-03-25 16:00:00+00:00,70751.354153621
2024-04-04 20:00,68500.0,65548.45283119813,71451.54716880187,fresh regime,2024-04-05 08:00,66930.75,regime off,-2.369027578218963,False,,
2024-04-05 16:00,68190.62,64862.437756745785,71518.8022432542,fresh regime,2024-04-05 20:00,67412.41,month breaker,-1.220298542547904,False,,
2024-05-17 16:00,67195.09,64817.26646706599,69572.913532934,fresh regime,2024-05-23 12:00,68325.05560290394,breakeven/trail stop,2.528081162034579,True,2024-05-20 16:00:00+00:00,69572.913532934
2024-05-24 20:00,69115.98,66338.43922247816,71893.52077752183,pullback resume,2024-06-07 16:00,69115.98,breakeven/trail stop,1.9277421360587965,True,2024-06-07 12:00:00+00:00,71893.52077752183
2024-06-10 16:00,70066.12,68753.8683263186,71378.3716736814,pullback resume,2024-06-11 00:00,68753.8683263186,initial stop,-1.951362181498728,False,,
2024-06-11 20:00,67407.02,65505.79500480915,69308.24499519085,fresh regime,2024-06-12 00:00,67314.23,regime off,-0.21753018264745183,False,,
2024-06-12 12:00,67778.43,66002.08957185427,69554.77042814571,fresh regime,2024-06-12 20:00,67532.92,regime off,1.1805145285212593,True,2024-06-12 16:00:00+00:00,69734.0
2024-06-13 00:00,68263.98,65836.20845457866,70691.75154542133,fresh regime,2024-06-13 04:00,67474.95,regime off,-1.234910657140098,False,,
2024-06-13 08:00,67724.8,65318.775172570386,70130.82482742962,fresh regime,2024-06-13 16:00,66470.01,regime off,-1.93127978642742,False,,
2024-07-18 08:00,64668.0,62095.023833561034,67240.97616643897,fresh regime,2024-07-25 00:00,64983.563920329485,breakeven/trail stop,2.1515909032485014,True,2024-07-19 16:00:00+00:00,67240.97616643897
2024-07-26 00:00,65799.95,63266.69450499189,68333.20549500811,pullback resume,2024-07-30 00:00,66230.21575822112,breakeven/trail stop,2.1701323833635655,True,2024-07-27 12:00:00+00:00,68333.20549500811
2024-08-25 04:00,64101.01,61915.278346115476,66286.74165388453,fresh regime,2024-08-27 12:00,61915.278346115476,initial stop,-3.487080734167658,False,,
2024-09-19 00:00,61759.98,59083.6492543362,64436.31074566381,fresh regime,2024-09-30 00:00,64328.45813124699,breakeven/trail stop,4.16274233263374,True,2024-09-23 00:00:00+00:00,64436.31074566381
2024-10-03 00:00,60649.27,58125.81205154373,63172.72794845626,fresh regime,2024-10-09 12:00,61674.7568819194,breakeven/trail stop,2.8434693592428673,True,2024-10-07 00:00:00+00:00,63172.72794845626
2024-10-11 16:00,62259.04,60238.193072095695,64279.88692790431,fresh regime,2024-10-21 12:00,67156.23488340038,breakeven/trail stop,5.471425469807389,True,2024-10-14 00:00:00+00:00,64279.88692790431
2024-10-24 12:00,67286.0,65450.61382029999,69121.38617970001,pullback resume,2024-10-31 12:00,70467.59759361095,breakeven/trail stop,3.645137859680858,True,2024-10-28 12:00:00+00:00,69121.38617970001
2024-11-05 08:00,68894.0,66586.46664766064,71201.53335233936,pullback resume,2024-11-25 12:00,94972.32439428325,breakeven/trail stop,20.50464862560062,True,2024-11-06 00:00:00+00:00,71201.53335233936
2024-11-27 16:00,95556.0,91291.71541828311,99820.28458171689,pullback resume,2024-12-05 20:00,97251.21634362853,breakeven/trail stop,3.0358508393221184,True,2024-12-05 00:00:00+00:00,99820.28458171689
2024-12-06 16:00,99310.0,93774.90879610697,104845.09120389303,pullback resume,2024-12-18 20:00,102438.19825957643,breakeven/trail stop,4.278268048144684,True,2024-12-15 20:00:00+00:00,104845.09120389303
2024-12-21 08:00,99040.0,93366.41618495756,104713.58381504244,fresh regime,2024-12-21 16:00,97527.96,regime off,-1.6054591715734978,False,,
2024-12-25 00:00,98663.58,93764.40183221875,103562.75816778126,fresh regime,2024-12-25 04:00,98029.49,regime off,-0.7221488489284278,False,,
2024-12-25 16:00,98519.99,94123.47283332465,102916.50716667536,fresh regime,2024-12-26 08:00,97719.99,regime off,-0.8913524623800573,False,,
2025-01-04 08:00,98271.87,95614.69289598678,100929.04710401321,fresh regime,2025-01-04 12:00,97889.4,regime off,-0.46886851516714234,False,,
2025-01-05 00:00,98220.51,95790.17342363282,100650.84657636717,fresh regime,2025-01-05 04:00,98187.97,regime off,-0.11308703846559798,False,,
2025-01-05 08:00,98268.77,96056.7977734385,100480.7422265615,fresh regime,2025-01-05 12:00,97641.62,regime off,-0.7176722302933092,False,,
2025-01-06 00:00,98363.61,96198.35099300231,100528.86900699769,fresh regime,2025-01-07 12:00,98527.73248970736,breakeven/trail stop,1.1031356334745945,True,2025-01-06 12:00:00+00:00,100528.86900699769
2025-01-16 08:00,99800.0,96160.67625951121,103439.32374048879,fresh regime,2025-01-19 20:00,100007.30815027183,breakeven/trail stop,1.845644858070683,True,2025-01-17 12:00:00+00:00,103439.32374048879
